ID,OBJ,dc_title,dc_description,TN
1,http://digital.lib.sfu.ca/vanpunk-267/doa-vktms,"D.O.A. VKTMS","Poster for show at Old Waldorf 444 Battery Street, San Francisco, CA, USA.",1.jpg
2,http://digital.lib.sfu.ca/vanpunk-276/1981-hard-core-tour,"1981 Hard Core Tour","Poster for show at Marble Bar 306 W. Franklin St, Baltimore, MD, USA.",2.jpg
